method,model,language,project,func_name,id,side
asap,70B,java,orientechnologies/orientdb,OEmbeddedRidBag.swap,559,0.9889918565750122
asap,70B,java,orientechnologies/orientdb,ODatabaseDocumentRemote.executeReadRecord,560,0.7612340450286865
asap,70B,java,orientechnologies/orientdb,OJson.toObjectDetermineType,561,0.7674605846405029
asap,70B,java,orientechnologies/orientdb,JPAHandler.characters,562,0.3432738482952118
asap,70B,java,orientechnologies/orientdb,OScriptExecutionPlan.executeFull,563,0.874065637588501
asap,70B,java,orientechnologies/orientdb,OObjectProxyMethodHandler.detach,564,0.856512188911438
asap,70B,java,orientechnologies/orientdb,OObjectProxyMethodHandler.attach,565,0.7598616480827332
asap,70B,java,orientechnologies/orientdb,ONative.getOpenFilesLimit,566,0.9708215594291687
asap,70B,java,orientechnologies/orientdb,SpatialQueryBuilderOverlap.build,567,0.9360864162445068
asap,70B,java,orientechnologies/orientdb,OLuceneSpatialOperator.evaluateRecord,568,0.7075275182723999
asap,70B,java,orientechnologies/orientdb,OSelectExecutionPlanner.findPrefixes,569,0.9295709133148193
asap,70B,java,orientechnologies/orientdb,ORecordSerializerBinaryV1.getFieldSizeAndTypeFromCurrentPosition,570,0.8827981948852539
asap,70B,java,orientechnologies/orientdb,OSelectExecutionPlanner.requiresMultipleIndexLookups,571,0.959905743598938
asap,70B,java,orientechnologies/orientdb,ORecordSerializerBinaryV0.getPositionsFromEmbeddedCollection,572,0.9652619361877441
asap,70B,java,orientechnologies/orientdb,OAtomicOperation.checkChangesFilledUpTo,573,0.8949716687202454
asap,70B,java,orientechnologies/orientdb,OExecutionPlanCache.get,574,0.8966473340988159
asap,70B,java,orientechnologies/orientdb,ODatabaseDocumentEmbedded.executeDeleteRecord,575,0.8980348706245422
asap,70B,java,orientechnologies/orientdb,OPropertyEmbedded.setTypeInternal,576,0.9790796041488647
asap,70B,java,orientechnologies/orientdb,OHazelcastPlugin.initSystemDatabase,577,0.9389387965202332
asap,70B,java,orientechnologies/orientdb,OReadersWriterSpinLock.tryAcquireReadLock,578,0.8909100294113159
asap,70B,java,orientechnologies/orientdb,OAbstractPaginatedStorage.handleJVMError,579,0.93970787525177
asap,70B,java,orientechnologies/orientdb,OETLContext.printExceptionStackTrace,580,0.9697912335395813
asap,70B,java,orientechnologies/orientdb,OFileManager.buildJsonFromFile,581,0.9762898683547974
asap,70B,java,orientechnologies/orientdb,ODistributedResponseManagerImpl.collectResponse,582,0.8747069835662842
asap,70B,java,orientechnologies/orientdb,ODistributedResponseManagerImpl.waitForSynchronousResponses,583,0.80931556224823
asap,70B,java,orientechnologies/orientdb,ODistributedResponseManagerImpl.getMissingNodes,584,0.8154051899909973
asap,70B,java,orientechnologies/orientdb,ODistributedResponseManagerImpl.getConflictResponses,585,0.878229558467865
asap,70B,java,orientechnologies/orientdb,ODistributedResponseManagerImpl.getBestResponsesGroup,586,0.7548727989196777
asap,70B,java,orientechnologies/orientdb,ODistributedResponseManagerImpl.computeQuorumResponse,587,0.8764510750770569
asap,70B,java,orientechnologies/orientdb,ODistributedResponseManagerImpl.getReceivedResponses,588,0.7718020081520081
asap,70B,java,orientechnologies/orientdb,OETLJob.status,589,0.8329309225082397
